"form_id","extraction_time","reviewer","trial_id","publication_found","publication_url","publication_doi","identification_step","publication_type","publication_pmid","typo_primary_id","publication_date","match_design","match_indication_population","match_intervention","match_comparator","match_any_outcome","n_matching_criteria","registry","start_date_recoded","completion_date_recoded","warning_cd_to_publication","warning_start_to_publication","n_match_agree","article_found_by","article_agreement_information","proj_id","eligibility","crossregistration_check","nct_id","eudract_id","main_id","reviewer_1","reviewer_2","has_publication","former_discrepancy","extraction_date_latest"
"F526",2022-12-16,"Sofia_K","NCT01154829","Yes","https://doi-org.proxy.kib.ki.se/10.1017/s0033291718004099","10.1017/S0033291718004099","Linked at the registration","Journal publication","30642415","NCT ID",2019-01-15,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2008-12-31","2016-05-31",NA,NA,"5","Sofia_K","Found by 1/2 reviewers, matching all 5 criteria",978,"Eligible","None found","NCT01154829",NA,NA,NA,NA,NA,NA,NA
"F527",2022-12-16,"Sofia_K","NCT01154829","Yes","https://doi.org/10.1017/s0033291718003781","10.1017/S0033291718003781","Linked at the registration","Journal publication","30560750","NCT ID",2018-12-18,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2008-12-31","2016-05-31",NA,NA,"5","Emmanuel_Z; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",978,"Eligible","None found","NCT01154829",NA,NA,NA,NA,NA,NA,NA
"F528",2022-12-16,"Shai_M","2013-002253-30","Yes","https://www.ahajournals.org/doi/10.1161/STROKEAHA.117.020067?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed","10.1161/STROKEAHA.117.020067","Via ClinicalTrial.gov: NCT01937182","Journal publication","30355209","EudraCT ID",2018-11-01,"Yes","Yes","Yes","Yes","Yes","5","euctr","2013-08-01","2016-12-19",NA,NA,"5","Shai_M","Found by 1/2 reviewers, matching all 5 criteria",88,"Eligible","Automatically identified","NCT01937182","2013-002253-30",NA,NA,NA,NA,NA,NA
"F529",2022-12-16,"Shai_M","NCT02778074","Yes","https://preprints.jmir.org/preprint/14648?__hstc=102212634.eec8ed6ae91198295531d3a181d844f7.1671190574195.1671190574195.1671190574195.1&__hssc=102212634.1.1671190574195&__hsfp=2568952849","10.2196/14648","Linked at the registration","Preprint","31584000","NCT ID",2019-10-03,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2017-02-06","2019-06-30",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",893,"Eligible","Irrelevant intervention type","NCT02778074",NA,NA,NA,NA,NA,NA,NA
"F530",2022-12-16,"Shai_M","NCT02778074","Yes","https://academic.oup.com/eurjcn/article/21/6/559/6513618?login=false","10.1093/eurjcn/zvab131","Linked at the registration","Journal publication","35061868","NCT ID",2022-08-29,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2017-02-06","2019-06-30",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",893,"Eligible","Irrelevant intervention type","NCT02778074",NA,NA,NA,NA,NA,NA,NA
"F531",2022-12-16,"Eero_R","2014-005634-59","Yes","https://doi.org/10.1093/cid/cix201","10.1093/cid/cix201","Linked at the registration","Journal publication","28329286","EudraCT ID",2017-06-15,"Yes","Yes","Yes","Yes","Yes","5","euctr","2015-04-01","2017-12-06","Publication date before completion date",NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",151,"Eligible","Automatically identified","NCT02443935","2014-005634-59",NA,NA,NA,NA,NA,NA
"F532",2022-12-16,"Eero_R","2017-001701-33","Yes","https://doi.org/10.1111/jdv.15744","10.1111/jdv.15744","Systematic Google search","Journal publication","31197894","EudraCT ID",2019-07-02,"Yes","Yes","Yes","Yes","Yes","5","euctr","2017-06-15","2017-12-14",NA,NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",272,"Eligible","Identified in publication","NCT03697590","2017-001701-33",NA,NA,NA,NA,NA,NA
"F533",2022-12-16,"Shai_M","2011-005438-20","Yes","https://www.sciencedirect.com/science/article/pii/S0302283818304652?via%3Dihub","10.1016/j.eururo.2018.06.037","Systematic Google search","Journal publication","30031572","EudraCT ID",2018-07-18,"Yes","Yes","Yes","Yes","Yes","5","euctr",NA,"2016-04-30",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",40,"Eligible","Identified in publication","NCT01821404","2011-005438-20",NA,NA,NA,NA,NA,NA
"F534",2022-12-16,"Shai_M","NCT02701530","Yes","http://www.tobaccopreventioncessation.com/The-RESPEKT-study-Ups-and-downs-of-a-peer-based-smoking-cessation-intervention-help,91426,0,2.html","10.18332/tpc/91426","Systematic Google search","Journal publication","32411850","NCT ID",2018-06-12,"No","Yes","Yes","Yes","Yes","4","ctgov","2013-08-31","2016-02-29",NA,NA,"4; 5","Love_A; Shai_M","Found by 2/2 reviewers, near-match vs. full match",1964,"Eligible","Irrelevant intervention type","NCT02701530",NA,NA,NA,NA,NA,NA,NA
"F535",2022-12-16,"Shai_M","NCT02185547","Yes","https://link.springer.com/article/10.1007/s00228-021-03122-z","10.1007/s00228-021-03122-z","Linked at the registration","Journal publication","33751155","NCT ID",2021-03-22,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-02-21","2019-11-04",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",395,"Eligible","Identified in manual search","NCT02185547","2013-004444-31",NA,NA,NA,NA,NA,NA
"F536",2022-12-16,"Eero_R","2015-001761-11","Yes","https://doi.org/10.1089/lrb.2019.0028","10.1089/lrb.2019.0028","Systematic Google search","Journal publication","31429625","EudraCT ID",2019-08-20,"Yes","Yes","Yes","Yes","Yes","5","euctr","2015-10-01","2017-10-11",NA,NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",177,"Eligible","None found",NA,"2015-001761-11",NA,NA,NA,NA,NA,NA
"F537",2022-12-16,"Eero_R","2014-002039-32","Yes","https://doi.org/10.1007/s12020-020-02507-x","10.1007/s12020-020-02507-x","Systematic Google search","Journal publication","33063273","EudraCT ID",2020-10-15,"Yes","Yes","Yes","Yes","Yes","5","euctr","2017-04-01","2019-06-03",NA,NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",121,"Eligible","Automatically identified","NCT02282150","2014-002039-32",NA,NA,NA,NA,NA,NA
"F538",2022-12-16,"Shai_M","NCT02379195","Yes","https://jitc.bmj.com/content/8/2/e000668","10.1136/jitc-2020-000668","Linked at the registration","Journal publication","32747469","NCT ID",2020-07-01,"No","Yes","Yes","Yes","Yes","4","ctgov","2014-11-30","2018-10-31",NA,NA,"4; 5","Love_A; Shai_M","Found by 2/2 reviewers, near-match vs. full match",858,"Eligible","Identified in manual search","NCT02379195","2014-001420-29",NA,NA,NA,NA,NA,NA
"F539",2022-12-16,"Eero_R","2017-001779-22","Yes","https://doi.org/10.2337/db20-0921","10.2337/db20-0921","Linked at the registration","Journal publication","33334875","EudraCT ID",2020-12-17,"Yes","Yes","Yes","Yes","Yes","5","euctr","2017-09-05","2019-12-19",NA,NA,"5","Eero_R; Themis_P","Found by 2/2 reviewers, matching all 5 criteria",274,"Eligible","None found",NA,"2017-001779-22",NA,NA,NA,NA,NA,NA
"F540",2022-12-16,"Eero_R","2017-001779-22","Yes","https://doi.org/10.1530/FEC-21-0558","10.1530/FEC-21-0558","Systematic Google search","Journal publication","35234661","EudraCT ID",2022-04-15,"Yes","Yes","Yes","Yes","Yes","5","euctr","2017-09-05","2019-12-19",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",274,"Eligible","None found",NA,"2017-001779-22",NA,NA,NA,NA,NA,NA
"F541",2022-12-16,"Tomasz_K","NCT03337425","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-11-15","2019-06-15",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",676,"Eligible","Irrelevant intervention type","NCT03337425",NA,NA,NA,NA,NA,NA,NA
"F542",2022-12-16,"Tomasz_K","NCT03231202","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-07-01","2019-08-01",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",885,"Eligible","Irrelevant intervention type","NCT03231202",NA,NA,NA,NA,NA,NA,NA
"F543",2022-12-16,"Shai_M","NCT03639402","Yes","https://www.tandfonline.com/doi/full/10.1080/16549716.2019.1670033","10.1080/16549716.2019.1670033","Systematic Google search","Journal publication","31573416","NCT ID",2019-10-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-06-30",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",2033,"Eligible","Irrelevant intervention type","NCT03639402",NA,NA,NA,NA,NA,NA,NA
"F544",2022-12-16,"Shai_M","NCT02924454","Yes","https://ascpt.onlinelibrary.wiley.com/doi/10.1002/cpt.1281","10.1002/cpt.1281","Systematic Google search","Journal publication","30412277","NCT ID",2018-12-26,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-09-30","2017-03-10",NA,NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",1478,"Eligible","None found","NCT02924454",NA,NA,NA,NA,NA,NA,NA
"F545",2022-12-16,"Katarzyna_K","2014-003432-39","Yes","https://doi.org/10.1111/dom.12954","10.1111/dom.12954","Systematic Google search","Journal publication","28345814","EudraCT ID",2017-05-31,"Yes","Yes","Yes","Yes","Yes","5","euctr","2014-11-03","2016-03-14",NA,NA,"5","Katarzyna_K","Found by 1/2 reviewers, matching all 5 criteria",132,"Eligible","Automatically identified","NCT02313220","2014-003432-39",NA,NA,NA,NA,NA,NA
"F546",2022-12-16,"Katarzyna_K","2014-003432-39","Yes","https://doi.org/10.1111/dom.12779","10.1111/dom.12779","Systematic Google search","Journal publication","27550386","EudraCT ID",2016-09-26,"Yes","Yes","Yes","Yes","Yes","5","euctr","2014-11-03","2016-03-14",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",132,"Eligible","Automatically identified","NCT02313220","2014-003432-39",NA,NA,NA,NA,NA,NA
"F547",2022-12-16,"Shai_M","NCT01891266","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2013-09-30","2016-09-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1875,"Eligible","Irrelevant intervention type","NCT01891266",NA,NA,NA,NA,NA,NA,NA
"F548",2022-12-16,"Shai_M","NCT03550365","Yes","https://nutritionj.biomedcentral.com/articles/10.1186/1475-2891-13-104","10.1186/1475-2891-13-104","Linked at the registration","Journal publication","25370913","NCT ID",2014-11-04,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2011-01-01","2017-12-31","Publication date before completion date",NA,"5","Love_A; Shai_M","Found by 2/2 reviewers, matching all 5 criteria",2112,"Eligible","Irrelevant intervention type","NCT03550365",NA,NA,NA,NA,NA,NA,NA
"F549",2022-12-16,"Eero_R","2008-008921-30","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"EudraCT ID",NA,NA,NA,NA,NA,NA,NA,"euctr","2009-06-18","2017-02-04",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",11,"Eligible","Identified in manual search","NCT00888511","2008-008921-30",NA,NA,NA,NA,NA,NA
"F550",2022-12-16,"Eero_R","2014-001417-79","Yes","https://doi.org/10.1155/2018/9391845","10.1155/2018/9391845","Systematic Google search","Journal publication","30009185","EudraCT ID",2018-05-24,"Yes","Yes","Yes","Yes","Yes","5","euctr","2014-10-01","2019-10-08","Publication date before completion date",NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",118,"Eligible","Automatically identified","NCT02352974","2014-001417-79",NA,NA,NA,NA,NA,NA
"F551",2022-12-16,"Eero_R","2014-001417-79","Yes","https://doi.org/10.3389/fimmu.2020.564921","10.3389/fimmu.2020.564921","Systematic Google search","Journal publication","33162978","EudraCT ID",2020-10-09,"Yes","Yes","Yes","Yes","Yes","5","euctr","2014-10-01","2019-10-08",NA,NA,"5","Eero_R; Sofia_K","Found by 2/2 reviewers, matching all 5 criteria",118,"Eligible","Automatically identified","NCT02352974","2014-001417-79",NA,NA,NA,NA,NA,NA
"F552",2022-12-16,"Shai_M","NCT03504904","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2014-11-13","2016-01-23",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2386,"Eligible","Irrelevant intervention type","NCT03504904",NA,NA,NA,NA,NA,NA,NA
"F553",2022-12-16,"Tomasz_K","NCT02809508","Yes","https://academic.oup.com/ajcn/article/110/6/1296/5580389?login=true","10.1093/ajcn/nqz233","Linked at the registration","Journal publication","31595295","NCT ID",2019-12-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-06-23",NA,NA,"5","Martin_R; Tomasz_K","Found by 2/2 reviewers, matching all 5 criteria",1692,"Eligible","Irrelevant intervention type","NCT02809508",NA,NA,NA,NA,NA,NA,NA
"F554",2022-12-16,"Katarzyna_K","NCT03413501","Yes","https://doi.org/10.1515/sjpain-2018-0097","10.1515/sjpain-2018-0097","Linked at the registration","Journal publication","30465720","NCT ID",2019-04-24,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-09-20","2018-02-20",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",619,"Eligible","Irrelevant intervention type","NCT03413501",NA,NA,NA,NA,NA,NA,NA
"F555",2022-12-16,"Tomasz_K","NCT02809508","Yes","https://academic.oup.com/ajcn/article/112/1/74/5855515?login=true","10.1093/ajcn/nqaa050","Linked at the registration","Journal publication","32529206","NCT ID",2020-07-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-06-23",NA,NA,"5","Martin_R; Tomasz_K","Found by 2/2 reviewers, matching all 5 criteria",1692,"Eligible","Irrelevant intervention type","NCT02809508",NA,NA,NA,NA,NA,NA,NA
"F556",2022-12-16,"Tomasz_K","NCT02809508","Yes","https://link.springer.com/article/10.1007/s00394-021-02490-7","10.1007/s00394-021-02490-7","Linked at the registration","Journal publication","33515093","NCT ID",2021-01-30,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-06-23",NA,NA,"5","Martin_R; Tomasz_K","Found by 2/2 reviewers, matching all 5 criteria",1692,"Eligible","Irrelevant intervention type","NCT02809508",NA,NA,NA,NA,NA,NA,NA
"F557",2022-12-16,"Katarzyna_K","NCT03357393","Yes","https://doi.org/10.1097/LBR.0000000000000610","10.1097/LBR.0000000000000610","Systematic Google search","Journal publication","31478938","NCT ID",2020-04-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-04-04","2017-05-09",NA,NA,"5","Katarzyna_K","Found by 1/2 reviewers, matching all 5 criteria",925,"Eligible","Identified in publication","NCT03357393","2015-005274-38",NA,NA,NA,NA,NA,NA
"F558",2022-12-16,"Katarzyna_K","NCT04410497","Yes","https://doi.org/10.1016/j.burns.2019.04.004","10.1016/j.burns.2019.04.004","Systematic Google search","Journal publication","31230798","NCT ID",2019-06-21,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-05-11","2018-05-08",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",1160,"Eligible","Irrelevant intervention type","NCT04410497",NA,NA,NA,NA,NA,NA,NA
"F559",2022-12-16,"Katarzyna_K","NCT00816049","Yes","https://doi.org/10.1111/ejh.12979","10.1111/ejh.12979","Systematic Google search","Journal publication","28983968","NCT ID",2017-11-09,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2009-01-31","2016-03-02",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",1895,"Eligible","None found","NCT00816049",NA,NA,NA,NA,NA,NA,NA
"F560",2022-12-16,"Perrine_J","NCT02425280","Yes","https://www.tandfonline.com/doi/full/10.1080/20008198.2018.1558708","10.1080/20008198.2018.1558708","Systematic Google search","Journal publication","30693077","NCT ID",2019-01-17,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-11-30","2018-04-30",NA,NA,"5","Perrine_J; Tomasz_K","Found by 2/2 reviewers, matching all 5 criteria",356,"Eligible","Irrelevant intervention type","NCT02425280",NA,NA,NA,NA,NA,NA,NA
"F561",2022-12-16,"Perrine_J","NCT05173857","Yes","https://doi.org/10.1177/0300060522108166","10.1177/03000605221081662","Systematic Google search","Journal publication","35354342","NCT ID",2022-03-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-01","2018-07-31",NA,NA,"5","Aminul_S; Perrine_J","Found by 2/2 reviewers, matching all 5 criteria",1903,"Eligible","None found","NCT05173857",NA,NA,NA,NA,NA,NA,NA
"F562",2022-12-16,"Katarzyna_K","NCT00816049","Yes","https://doi.org/10.1182/blood.V130.Suppl_1.142.142","10.1182/blood.V130.Suppl_1.142.142","Systematic Google search","Conference abstract published in the journal",NA,"NCT ID",2017-12-07,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2009-01-31","2016-03-02",NA,NA,"5","Katarzyna_K","Found by 1/2 reviewers, matching all 5 criteria",1895,"Eligible","None found","NCT00816049",NA,NA,NA,NA,NA,NA,NA
"F563",2022-12-16,"Maximilian_S","2015-001550-14","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"EudraCT ID",NA,NA,NA,NA,NA,NA,NA,"euctr","2015-07-07",NA,NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",173,"Eligible","None found",NA,"2015-001550-14",NA,NA,NA,NA,NA,NA
"F564",2022-12-16,"Maximilian_S","NCT01161329","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2009-09-30","2016-02-29",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",591,"Eligible","Irrelevant intervention type","NCT01161329",NA,NA,NA,NA,NA,NA,NA
"F567",2022-12-16,"Maximilian_S","NCT02010346","Yes","https://doi.org/10.1093/ejo/cjz053","10.1093/ejo/cjz053","Linked at the registration","Journal publication","31369675","NCT ID",2019-11-15,"Yes","Yes","Yes","Yes","No","4","ctgov","2005-01-31","2019-12-31","Publication date before completion date",NA,"4","Karely_L; Maximilian_S","Found by 2/2 reviewers, near-match vs. ineligible match",2070,"Eligible","Irrelevant intervention type","NCT02010346",NA,NA,NA,NA,NA,NA,NA
"F568",2022-12-16,"Maximilian_S","NCT02010346","Yes","https://doi.org/10.1093/ejo/cjy083","10.1093/ejo/cjy083","Linked at the registration","Journal publication","30601990","NCT ID",2019-11-15,"Yes","Yes","Yes","Yes","No","4","ctgov","2005-01-31","2019-12-31","Publication date before completion date",NA,"4","Karely_L; Maximilian_S","Found by 2/2 reviewers, near-match vs. ineligible match",2070,"Eligible","Irrelevant intervention type","NCT02010346",NA,NA,NA,NA,NA,NA,NA
"F569",2022-12-16,"Maximilian_S","NCT02010346","Yes","https://doi.org/10.1093/ejo/cjx088","10.1093/ejo/cjx088","Linked at the registration","Journal publication","29228206","NCT ID",2018-05-25,"Yes","Yes","Yes","Yes","No","4","ctgov","2005-01-31","2019-12-31","Publication date before completion date",NA,"4","Karely_L; Maximilian_S","Found by 2/2 reviewers, near-match vs. ineligible match",2070,"Eligible","Irrelevant intervention type","NCT02010346",NA,NA,NA,NA,NA,NA,NA
"F571",2022-12-16,"Maximilian_S","NCT02883478","Yes","https://journals.lww.com/corneajrnl/Abstract/2019/02000/Randomized_Study_of_Collagen_Cross_Linking_With.14.aspx","10.1097/ICO.0000000000001791","Systematic Google search","Journal publication","30365412","NCT ID",2019-02-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2012-08-31","2016-08-31",NA,NA,"5","Maximilian_S","Found by 1/2 reviewers, matching all 5 criteria",1613,"Eligible","None found","NCT02883478",NA,NA,NA,NA,NA,NA,NA
"F572",2022-12-16,"Maximilian_S","NCT02884531","Yes","https://onlinelibrary.wiley.com/doi/full/10.1002/pri.1930","10.1002/pri.1930","Linked at the registration","Journal publication","34811841","NCT ID",2021-11-22,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-10-31","2019-01-31",NA,NA,"5","Maximilian_S","Found by 1/2 reviewers, matching all 5 criteria",1612,"Eligible","Irrelevant intervention type","NCT02884531",NA,NA,NA,NA,NA,NA,NA
"F574",2022-12-16,"Maximilian_S","NCT02713360","Yes","https://doi.org/10.1177/2047487319874147","10.1177/2047487319874147","Systematic Google search","Journal publication","31575299","NCT ID",2019-10-02,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-05-31","2018-12-15",NA,NA,"5","Maximilian_S","Found by 1/2 reviewers, matching all 5 criteria",1520,"Eligible","Irrelevant intervention type","NCT02713360",NA,NA,NA,NA,NA,NA,NA
"F575",2022-12-16,"Maximilian_S","NCT03632408","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-09-30","2019-12-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2036,"Eligible","None found","NCT03632408",NA,NA,NA,NA,NA,NA,NA
"F576",2022-12-16,"Johan_B","NCT03380663","Yes","https://doi.org/10.1161/circheartfailure.119.006427","10.1161/circheartfailure.119.006427","Linked at the registration","Journal publication","31830830","NCT ID",2019-12-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-09-01","2019-07-01",NA,NA,"5","Johan_B","Found by 1/2 reviewers, matching all 5 criteria",645,"Eligible","Irrelevant intervention type","NCT03380663",NA,NA,NA,NA,NA,NA,NA
"F577",2022-12-16,"Johan_B","NCT03721094","Yes","https://doi-org.ezproxy.its.uu.se/10.1007/s00464-019-06887-8","10.1007/s00464-019-06887-8","Systematic Google search","Journal publication","31172325","NCT ID",2019-06-06,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2018-02-14","2018-06-05",NA,NA,"5","Johan_B","Found by 1/2 reviewers, matching all 5 criteria",1697,"Eligible","Irrelevant intervention type","NCT03721094",NA,NA,NA,NA,NA,NA,NA
"F578",2022-12-16,"Johan_B","NCT02132065","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2014-06-30","2017-06-01",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2337,"Eligible","None found","NCT02132065",NA,NA,NA,NA,NA,NA,NA
"F579",2022-12-16,"Johan_B","NCT02148510","Yes","https://doi.org/10.1093/ejo/cjy030","10.1093/ejo/cjy030","Linked at the registration","Journal publication","29771314","NCT ID",2019-01-23,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-05-31","2017-05-15",NA,NA,"5","Johan_B; Shreya_R","Found by 2/2 reviewers, matching all 5 criteria",2425,"Eligible","Irrelevant intervention type","NCT02148510",NA,NA,NA,NA,NA,NA,NA
"F580",2022-12-16,"Johan_B","NCT02594982","Yes","https://doi-org.ezproxy.its.uu.se/10.1016/j.iccn.2020.102816","10.1016/j.iccn.2020.102816","Systematic Google search","Journal publication","32089416","NCT ID",2020-02-20,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-08-31","2016-07-31",NA,NA,"5; 4","Johan_B; Shreya_R","Found by 2/2 reviewers, near-match vs. full match",2326,"Eligible","Irrelevant intervention type","NCT02594982",NA,NA,NA,NA,NA,NA,NA
"F581",2022-12-16,"Johan_B","NCT02914652","Yes","https://doi.org/10.1136/bmjsem-2018-000397","10.1136/bmjsem-2018-000397","Linked at the registration","Journal publication","30233808","NCT ID",2018-08-30,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-10-15","2018-01-01",NA,NA,"5","Johan_B","Found by 1/2 reviewers, matching all 5 criteria",1503,"Cross-registration duplicate","Automatically identified","NCT02914652","2015-005507-89",NA,NA,NA,NA,NA,NA
"F582",2022-12-16,"Johan_B","NCT03952741","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-03-31","2017-11-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1516,"Eligible","Irrelevant intervention type","NCT03952741",NA,NA,NA,NA,NA,NA,NA
"F583",2022-12-17,"Katarzyna_K","NCT02468752","Yes","https://doi.org/10.1007/s00421-022-04892-9","10.1007/s00421-022-04892-9","Systematic Google search","Journal publication","35142945","NCT ID",2022-02-10,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-05-31","2019-04-30",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",589,"Eligible","None found","NCT02468752",NA,NA,NA,NA,NA,NA,NA
"F584",2022-12-17,"Katarzyna_K","NCT02673580","Yes","https://doi.org/10.1186/s41687-019-0151-0","10.1186/s41687-019-0151-0","Linked at the registration","Journal publication","31520247","NCT ID",2019-09-13,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-01-31","2018-01-31",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",2177,"Eligible","Irrelevant intervention type","NCT02673580",NA,NA,NA,NA,NA,NA,NA
"F585",2022-12-17,"Katarzyna_K","2015-002116-32","Yes","https://doi.org/10.1016/j.jpsychires.2019.09.014","10.1016/j.jpsychires.2019.09.014","Linked at the registration","Journal publication","31586772","EudraCT ID",2019-09-30,"Yes","Yes","Yes","Yes","Yes","5","euctr","2016-01-18","2017-08-15",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",180,"Eligible","Automatically identified","NCT02451293","2015-002116-32",NA,NA,NA,NA,NA,NA
"F586",2022-12-17,"Katarzyna_K","2015-002116-32","Yes","https://doi.org/10.1111/jpi.12600","10.1111/jpi.12600","Linked at the registration","Journal publication","31355944","EudraCT ID",2019-08-22,"Yes","Yes","Yes","Yes","Yes","5","euctr","2016-01-18","2017-08-15",NA,NA,"5; 0","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, near-match vs. full match",180,"Eligible","Automatically identified","NCT02451293","2015-002116-32",NA,NA,NA,NA,NA,NA
"F587",2022-12-17,"Katarzyna_K","NCT02367573","Yes","https://doi.org/10.1007/s00464-019-07266-z","10.1007/s00464-019-07266-z","Linked at the registration","Journal publication","31754852","NCT ID",2019-11-21,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-01-31","2017-10-31",NA,NA,"5","Emmanuel_Z; Katarzyna_K","Found by 2/2 reviewers, matching all 5 criteria",492,"Eligible","Irrelevant intervention type","NCT02367573",NA,NA,NA,NA,NA,NA,NA
"F588",2022-12-17,"Katarzyna_K","NCT02601482","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2015-10-31","2016-10-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2314,"Eligible","Irrelevant intervention type","NCT02601482",NA,NA,NA,NA,NA,NA,NA
